BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-860-1101,1,860,1101,2018,13 EAST 30TH STREET L,13 EAST 30 STREET,27926.0,2C,1-860-1101
1-861-4,1,861,4,2018,MEPT 309 FIFTH AVENUE,309 5 AVENUE,1208050.0,2,1-861-4
1-861-32,1,861,32,2017,MARJAN INTERNATIONAL,41 EAST 31 STREET,109500.0,4,1-861-32
1-861-32,1,861,32,2018,MARJAN INTERNATIONAL,41 EAST 31 STREET,208500.0,4,1-861-32
1-861-44,1,861,44,2018,T-C 470 PARK AVENUE S,462 PARK AVENUE SOUTH,1602050.0,4,1-861-44
1-862-1,1,862,1,2017,"FORMAN FIFTH, LLC",319 5 AVENUE,391600.0,4,1-862-1
1-862-1,1,862,1,2018,"FORMAN FIFTH, LLC",319 5 AVENUE,423550.0,4,1-862-1
1-862-1002,1,862,1002,2018,PROPERTIES & EQUITIES,161 MADISON AVENUE,104089.0,4,1-862-1002
1-862-1101,1,862,1101,2018,"TANG'S REALTY, INC.",14 EAST 33 STREET,126950.0,4,1-862-1101
1-862-1469,1,862,1469,2018,TRASTAMARAN LLC,325 5 AVENUE,55085.0,2,1-862-1469
1-863-6,1,863,6,2018,"ROSEN, GLUCK & MAY (A",1 EAST 33 STREET,704400.0,4,1-863-6
1-863-13,1,863,13,2018,WOHIO HOLDING INC.,15 EAST 33 STREET,2389750.0,4,1-863-13
1-863-74,1,863,74,2018,"METRON DEVELOPMENT, L",14 EAST 34 STREET,169600.0,4,1-863-74
1-863-1002,1,863,1002,2018,NYC HOTEL 33 LLC,45 EAST 33 STREET,2644500.0,4,1-863-1002
